disease,resistance_gene_count,susceptibility_gene_count,evidence_strength_score,temperature,humidity,soil_moisture,light,risk_level,risk_score
Late Blight,1,0,-1.0,20.7,42.9,45.9,564.1,low,28.0
Fusarium Wilt,1,0,-1.0,20.7,42.9,45.9,564.1,low,28.0
Bacterial Spot,1,0,-0.6,20.7,42.9,45.9,564.1,low,28.0
Early Blight,0,0,0.0,38.0,86.8,87.5,1119.0,moderate,46.0
Late Blight,2,0,-1.6,38.0,86.8,87.5,1119.0,low,28.0
Fusarium Wilt,2,0,-2.0,38.0,86.8,87.5,1119.0,low,28.0
Bacterial Spot,2,0,-1.6,38.0,86.8,87.5,1119.0,low,28.0
Early Blight,1,0,-0.6,37.7,48.0,72.7,600.5,low,28.0
Late Blight,0,0,0.0,37.7,48.0,72.7,600.5,low,34.0
Fusarium Wilt,0,0,0.0,37.7,48.0,72.7,600.5,moderate,46.0
Bacterial Spot,2,0,-1.6,37.7,48.0,72.7,600.5,low,16.0
Early Blight,1,0,-0.6,37.3,69.4,53.4,922.8,low,28.0
Late Blight,0,0,0.0,37.3,69.4,53.4,922.8,low,34.0
Fusarium Wilt,1,0,-1.0,37.3,69.4,53.4,922.8,low,28.0
Bacterial Spot,1,0,-0.6,37.3,69.4,53.4,922.8,low,28.0
Early Blight,1,0,-0.6,19.3,70.5,64.0,358.7,moderate,40.0
Late Blight,1,0,-0.6,19.3,70.5,64.0,358.7,moderate,40.0
Fusarium Wilt,0,0,0.0,19.3,70.5,64.0,358.7,moderate,46.0
Bacterial Spot,1,0,-1.0,19.3,70.5,64.0,358.7,low,16.0
Early Blight,1,0,-0.6,27.0,93.6,26.3,887.8,moderate,56.0
Late Blight,1,0,-1.0,27.0,93.6,26.3,887.8,low,28.0
Fusarium Wilt,2,0,-2.0,27.0,93.6,26.3,887.8,moderate,44.0
Bacterial Spot,1,0,-0.6,27.0,93.6,26.3,887.8,moderate,56.0
Early Blight,1,0,-0.6,25.5,97.9,89.7,180.6,moderate,56.0
Late Blight,1,0,-1.0,25.5,97.9,89.7,180.6,low,28.0
Fusarium Wilt,0,0,0.0,25.5,97.9,89.7,180.6,moderate,62.0
Bacterial Spot,2,0,-1.6,25.5,97.9,89.7,180.6,moderate,44.0
Early Blight,0,0,0.0,34.2,77.8,58.9,1186.0,moderate,46.0
Late Blight,1,0,-1.0,34.2,77.8,58.9,1186.0,low,28.0
Fusarium Wilt,1,0,-1.0,34.2,77.8,58.9,1186.0,moderate,44.0
Bacterial Spot,1,0,-0.6,34.2,77.8,58.9,1186.0,low,28.0
Early Blight,0,0,0.0,17.7,37.3,54.3,399.6,low,34.0
Late Blight,1,0,-0.6,17.7,37.3,54.3,399.6,moderate,40.0
Fusarium Wilt,1,0,-1.0,17.7,37.3,54.3,399.6,low,16.0
Bacterial Spot,1,0,-1.0,17.7,37.3,54.3,399.6,low,16.0
Early Blight,1,0,-0.6,34.5,36.3,43.9,404.3,low,28.0
Late Blight,0,0,0.0,34.5,36.3,43.9,404.3,low,34.0
Fusarium Wilt,1,0,-1.0,34.5,36.3,43.9,404.3,low,28.0
Bacterial Spot,1,0,-0.6,34.5,36.3,43.9,404.3,low,28.0
Early Blight,0,0,0.0,15.2,35.1,80.6,1094.3,low,34.0
Late Blight,0,0,0.0,15.2,35.1,80.6,1094.3,moderate,46.0
Fusarium Wilt,2,0,-2.0,15.2,35.1,80.6,1094.3,low,16.0
Bacterial Spot,1,0,-1.0,15.2,35.1,80.6,1094.3,low,16.0
Early Blight,1,0,-0.6,33.3,88.5,81.9,331.1,moderate,40.0
Late Blight,1,0,-1.0,33.3,88.5,81.9,331.1,low,28.0
Fusarium Wilt,1,0,-1.0,33.3,88.5,81.9,331.1,moderate,44.0
Bacterial Spot,1,0,-0.6,33.3,88.5,81.9,331.1,moderate,40.0
Early Blight,0,0,0.0,36.4,88.8,88.1,991.8,moderate,46.0
Late Blight,1,0,-1.0,36.4,88.8,88.1,991.8,low,28.0
Fusarium Wilt,1,0,-1.0,36.4,88.8,88.1,991.8,low,28.0
Bacterial Spot,0,0,0.0,36.4,88.8,88.1,991.8,moderate,46.0
Early Blight,0,0,0.0,33.6,48.1,73.0,218.9,low,34.0
Late Blight,1,0,-0.6,33.6,48.1,73.0,218.9,low,28.0
Fusarium Wilt,1,0,-1.0,33.6,48.1,73.0,218.9,moderate,44.0
Bacterial Spot,1,0,-1.0,33.6,48.1,73.0,218.9,low,16.0
Early Blight,0,0,0.0,20.2,31.6,25.5,461.1,moderate,46.0
Late Blight,1,0,-0.6,20.2,31.6,25.5,461.1,moderate,40.0
Fusarium Wilt,1,0,-1.0,20.2,31.6,25.5,461.1,low,16.0
Bacterial Spot,0,0,0.0,20.2,31.6,25.5,461.1,low,34.0
Early Blight,0,0,0.0,36.6,37.8,87.6,296.4,low,34.0
Late Blight,2,0,-1.6,36.6,37.8,87.6,296.4,low,16.0
Fusarium Wilt,1,0,-1.0,36.6,37.8,87.6,296.4,low,16.0
Bacterial Spot,1,0,-1.0,36.6,37.8,87.6,296.4,low,16.0
Early Blight,0,0,0.0,26.8,56.2,56.1,380.2,moderate,46.0
Late Blight,1,0,-1.0,26.8,56.2,56.1,380.2,low,16.0
Fusarium Wilt,0,0,0.0,26.8,56.2,56.1,380.2,moderate,62.0
Bacterial Spot,0,0,0.0,26.8,56.2,56.1,380.2,moderate,46.0
Early Blight,1,0,-0.6,23.4,34.8,63.1,463.2,moderate,40.0
Late Blight,0,0,0.0,23.4,34.8,63.1,463.2,moderate,46.0
Fusarium Wilt,2,0,-2.0,23.4,34.8,63.1,463.2,low,16.0
Bacterial Spot,2,0,-1.6,23.4,34.8,63.1,463.2,low,16.0
Early Blight,0,0,0.0,21.8,38.7,43.6,1134.4,moderate,46.0
Late Blight,0,0,0.0,21.8,38.7,43.6,1134.4,moderate,46.0
Fusarium Wilt,1,0,-1.0,21.8,38.7,43.6,1134.4,low,16.0
Bacterial Spot,2,0,-1.6,21.8,38.7,43.6,1134.4,low,16.0
Early Blight,1,0,-0.6,24.9,69.4,62.4,611.5,moderate,40.0
Late Blight,2,0,-1.6,24.9,69.4,62.4,611.5,low,16.0
Fusarium Wilt,0,0,0.0,24.9,69.4,62.4,611.5,moderate,46.0
Bacterial Spot,2,0,-1.6,24.9,69.4,62.4,611.5,low,28.0
Early Blight,0,0,0.0,26.9,73.0,36.8,1000.3,moderate,62.0
Late Blight,1,0,-0.6,26.9,73.0,36.8,1000.3,low,28.0
Fusarium Wilt,2,0,-2.0,26.9,73.0,36.8,1000.3,moderate,44.0
Bacterial Spot,2,0,-1.6,26.9,73.0,36.8,1000.3,low,28.0
Early Blight,1,0,-0.6,34.5,35.0,43.2,792.7,low,28.0
Late Blight,1,0,-0.6,34.5,35.0,43.2,792.7,low,28.0
Fusarium Wilt,1,0,-1.0,34.5,35.0,43.2,792.7,low,28.0
Bacterial Spot,1,0,-1.0,34.5,35.0,43.2,792.7,low,16.0
Early Blight,0,0,0.0,32.7,37.2,44.0,293.5,low,34.0
Late Blight,1,0,-0.6,32.7,37.2,44.0,293.5,low,28.0
Fusarium Wilt,1,0,-1.0,32.7,37.2,44.0,293.5,low,28.0
Bacterial Spot,1,0,-1.0,32.7,37.2,44.0,293.5,low,16.0
Early Blight,0,0,0.0,30.4,97.2,57.6,1145.0,moderate,46.0
Late Blight,0,0,0.0,30.4,97.2,57.6,1145.0,moderate,46.0
Fusarium Wilt,0,0,0.0,30.4,97.2,57.6,1145.0,moderate,62.0
Bacterial Spot,0,0,0.0,30.4,97.2,57.6,1145.0,moderate,46.0
Early Blight,0,0,0.0,32.1,62.3,30.7,372.0,low,34.0
Late Blight,0,0,0.0,32.1,62.3,30.7,372.0,low,34.0
Fusarium Wilt,1,0,-1.0,32.1,62.3,30.7,372.0,moderate,44.0
Bacterial Spot,2,0,-1.6,32.1,62.3,30.7,372.0,low,16.0
Early Blight,1,0,-0.6,21.2,51.7,53.2,252.2,moderate,40.0
Late Blight,0,0,0.0,21.2,51.7,53.2,252.2,moderate,46.0
Fusarium Wilt,2,0,-2.0,21.2,51.7,53.2,252.2,low,28.0
Bacterial Spot,1,0,-0.6,21.2,51.7,53.2,252.2,low,28.0
Early Blight,0,0,0.0,19.8,58.6,82.4,742.5,low,34.0
Late Blight,0,0,0.0,19.8,58.6,82.4,742.5,moderate,46.0
Fusarium Wilt,2,0,-2.0,19.8,58.6,82.4,742.5,low,28.0
Bacterial Spot,1,0,-1.0,19.8,58.6,82.4,742.5,low,16.0
Early Blight,0,0,0.0,34.6,94.8,43.5,922.3,moderate,46.0
Late Blight,1,0,-0.6,34.6,94.8,43.5,922.3,moderate,40.0
Fusarium Wilt,2,0,-2.0,34.6,94.8,43.5,922.3,moderate,44.0
Bacterial Spot,2,0,-1.6,34.6,94.8,43.5,922.3,low,28.0
Early Blight,1,0,-0.6,30.6,57.5,23.2,614.1,low,28.0
Late Blight,1,0,-0.6,30.6,57.5,23.2,614.1,low,28.0
Fusarium Wilt,1,0,-1.0,30.6,57.5,23.2,614.1,moderate,44.0
Bacterial Spot,1,0,-1.0,30.6,57.5,23.2,614.1,low,16.0
Early Blight,1,0,-0.6,18.1,61.4,14.0,517.0,low,28.0
Late Blight,1,0,-1.0,18.1,61.4,14.0,517.0,low,28.0
Fusarium Wilt,1,0,-1.0,18.1,61.4,14.0,517.0,low,28.0
Bacterial Spot,1,0,-0.6,18.1,61.4,14.0,517.0,low,28.0
Early Blight,1,0,-0.6,16.9,31.3,53.2,1199.9,low,28.0
Late Blight,0,0,0.0,16.9,31.3,53.2,1199.9,moderate,46.0
Fusarium Wilt,0,0,0.0,16.9,31.3,53.2,1199.9,low,34.0
Bacterial Spot,1,0,-0.6,16.9,31.3,53.2,1199.9,low,28.0
Early Blight,0,0,0.0,15.5,40.4,20.1,836.4,low,34.0
Late Blight,1,0,-1.0,15.5,40.4,20.1,836.4,low,28.0
Fusarium Wilt,1,0,-1.0,15.5,40.4,20.1,836.4,low,28.0
Bacterial Spot,0,0,0.0,15.5,40.4,20.1,836.4,low,34.0
Early Blight,1,0,-0.6,17.6,85.7,87.2,218.9,moderate,40.0
Late Blight,1,0,-1.0,17.6,85.7,87.2,218.9,moderate,44.0
Fusarium Wilt,1,0,-1.0,17.6,85.7,87.2,218.9,low,28.0
Bacterial Spot,1,0,-0.6,17.6,85.7,87.2,218.9,moderate,40.0
Early Blight,0,0,0.0,30.9,72.7,18.2,949.7,moderate,46.0
Late Blight,1,0,-0.6,30.9,72.7,18.2,949.7,low,28.0
Fusarium Wilt,0,0,0.0,30.9,72.7,18.2,949.7,moderate,62.0
Bacterial Spot,2,0,-1.6,30.9,72.7,18.2,949.7,low,16.0
Early Blight,0,0,0.0,23.5,64.4,37.3,1034.5,moderate,46.0
Late Blight,1,0,-1.0,23.5,64.4,37.3,1034.5,low,28.0
Fusarium Wilt,0,0,0.0,23.5,64.4,37.3,1034.5,moderate,46.0
Bacterial Spot,1,0,-0.6,23.5,64.4,37.3,1034.5,low,28.0
Early Blight,0,0,0.0,31.9,95.7,31.6,989.0,moderate,46.0
Late Blight,2,0,-1.6,31.9,95.7,31.6,989.0,low,28.0
Fusarium Wilt,1,0,-1.0,31.9,95.7,31.6,989.0,moderate,44.0
Bacterial Spot,0,0,0.0,31.9,95.7,31.6,989.0,moderate,46.0
Early Blight,0,0,0.0,17.0,90.0,29.5,611.2,moderate,46.0
Late Blight,2,0,-1.6,17.0,90.0,29.5,611.2,moderate,44.0
Fusarium Wilt,1,0,-1.0,17.0,90.0,29.5,611.2,low,28.0
Bacterial Spot,1,0,-1.0,17.0,90.0,29.5,611.2,low,28.0
Early Blight,1,0,-0.6,22.8,89.9,66.1,403.9,moderate,56.0
Late Blight,1,0,-0.6,22.8,89.9,66.1,403.9,moderate,56.0
Fusarium Wilt,1,0,-1.0,22.8,89.9,66.1,403.9,low,28.0
Bacterial Spot,0,0,0.0,22.8,89.9,66.1,403.9,moderate,46.0
Early Blight,1,0,-0.6,29.9,63.4,73.4,202.4,moderate,40.0
Late Blight,1,0,-0.6,29.9,63.4,73.4,202.4,low,28.0
Fusarium Wilt,1,0,-1.0,29.9,63.4,73.4,202.4,moderate,44.0
Bacterial Spot,1,0,-0.6,29.9,63.4,73.4,202.4,moderate,40.0
Early Blight,1,0,-0.6,32.2,52.5,66.2,398.0,low,28.0
Late Blight,2,0,-1.6,32.2,52.5,66.2,398.0,low,16.0
Fusarium Wilt,1,0,-1.0,32.2,52.5,66.2,398.0,moderate,44.0
Bacterial Spot,1,0,-0.6,32.2,52.5,66.2,398.0,low,28.0
Early Blight,0,0,0.0,20.0,62.9,68.0,1174.3,moderate,46.0
Late Blight,2,0,-1.6,20.0,62.9,68.0,1174.3,low,28.0
Fusarium Wilt,2,0,-2.0,20.0,62.9,68.0,1174.3,low,28.0
Bacterial Spot,2,0,-1.6,20.0,62.9,68.0,1174.3,low,16.0
Early Blight,0,0,0.0,27.3,48.7,87.9,708.7,moderate,46.0
Late Blight,1,0,-1.0,27.3,48.7,87.9,708.7,low,16.0
Fusarium Wilt,1,0,-1.0,27.3,48.7,87.9,708.7,moderate,44.0
Bacterial Spot,1,0,-0.6,27.3,48.7,87.9,708.7,moderate,40.0
Early Blight,1,0,-0.6,25.1,42.5,14.1,1135.2,moderate,40.0
Late Blight,1,0,-0.6,25.1,42.5,14.1,1135.2,low,28.0
Fusarium Wilt,1,0,-1.0,25.1,42.5,14.1,1135.2,moderate,44.0
Bacterial Spot,2,0,-1.6,25.1,42.5,14.1,1135.2,low,28.0
Early Blight,0,0,0.0,27.9,50.7,89.5,230.3,moderate,46.0
Late Blight,0,0,0.0,27.9,50.7,89.5,230.3,low,34.0
Fusarium Wilt,1,0,-1.0,27.9,50.7,89.5,230.3,moderate,44.0
Bacterial Spot,2,0,-1.6,27.9,50.7,89.5,230.3,low,28.0
Early Blight,0,0,0.0,34.8,97.3,34.4,783.1,moderate,46.0
Late Blight,0,0,0.0,34.8,97.3,34.4,783.1,moderate,46.0
Fusarium Wilt,2,0,-2.0,34.8,97.3,34.4,783.1,moderate,44.0
Bacterial Spot,1,0,-0.6,34.8,97.3,34.4,783.1,moderate,40.0
Early Blight,0,0,0.0,19.0,35.1,10.2,595.6,low,34.0
Late Blight,2,0,-1.6,19.0,35.1,10.2,595.6,low,28.0
Fusarium Wilt,0,0,0.0,19.0,35.1,10.2,595.6,low,34.0
Bacterial Spot,1,0,-1.0,19.0,35.1,10.2,595.6,low,16.0
Early Blight,0,0,0.0,36.2,83.6,60.0,827.3,moderate,46.0
Late Blight,1,0,-1.0,36.2,83.6,60.0,827.3,low,28.0
Fusarium Wilt,0,0,0.0,36.2,83.6,60.0,827.3,moderate,46.0
Bacterial Spot,1,0,-0.6,36.2,83.6,60.0,827.3,low,28.0
Early Blight,1,0,-0.6,18.8,50.9,69.9,726.1,low,28.0
Late Blight,1,0,-1.0,18.8,50.9,69.9,726.1,low,28.0
Fusarium Wilt,0,0,0.0,18.8,50.9,69.9,726.1,moderate,46.0
Bacterial Spot,1,0,-0.6,18.8,50.9,69.9,726.1,low,28.0
Early Blight,1,0,-0.6,16.9,32.7,44.6,454.6,low,28.0
Late Blight,1,0,-1.0,16.9,32.7,44.6,454.6,low,28.0
Fusarium Wilt,0,0,0.0,16.9,32.7,44.6,454.6,low,34.0
Bacterial Spot,0,0,0.0,16.9,32.7,44.6,454.6,low,34.0
Early Blight,1,0,-0.6,30.5,48.3,13.2,931.9,low,28.0
Late Blight,0,0,0.0,30.5,48.3,13.2,931.9,low,34.0
Fusarium Wilt,1,0,-1.0,30.5,48.3,13.2,931.9,moderate,44.0
Bacterial Spot,1,0,-0.6,30.5,48.3,13.2,931.9,low,28.0
Early Blight,0,0,0.0,17.1,53.7,36.7,837.1,low,34.0
Late Blight,1,0,-1.0,17.1,53.7,36.7,837.1,low,28.0
Fusarium Wilt,1,0,-1.0,17.1,53.7,36.7,837.1,low,28.0
Bacterial Spot,0,0,0.0,17.1,53.7,36.7,837.1,low,34.0
Early Blight,1,0,-0.6,25.5,51.4,35.9,1167.2,moderate,40.0
Late Blight,0,0,0.0,25.5,51.4,35.9,1167.2,low,34.0
Fusarium Wilt,0,0,0.0,25.5,51.4,35.9,1167.2,moderate,62.0
Bacterial Spot,2,0,-1.6,25.5,51.4,35.9,1167.2,low,28.0
Early Blight,1,0,-0.6,23.3,81.4,60.0,936.0,moderate,56.0
Late Blight,0,0,0.0,23.3,81.4,60.0,936.0,moderate,62.0
Fusarium Wilt,1,0,-1.0,23.3,81.4,60.0,936.0,low,28.0
Bacterial Spot,1,0,-1.0,23.3,81.4,60.0,936.0,low,16.0
Early Blight,0,0,0.0,29.0,46.3,22.7,705.9,moderate,46.0
Late Blight,1,0,-1.0,29.0,46.3,22.7,705.9,low,16.0
Fusarium Wilt,1,0,-1.0,29.0,46.3,22.7,705.9,moderate,44.0
Bacterial Spot,1,0,-1.0,29.0,46.3,22.7,705.9,low,28.0
Early Blight,0,0,0.0,26.5,78.7,50.7,400.8,moderate,62.0
Late Blight,1,0,-0.6,26.5,78.7,50.7,400.8,moderate,40.0
Fusarium Wilt,1,0,-1.0,26.5,78.7,50.7,400.8,moderate,44.0
Bacterial Spot,0,0,0.0,26.5,78.7,50.7,400.8,moderate,46.0
Early Blight,1,0,-0.6,35.2,88.8,32.1,969.0,moderate,40.0
Late Blight,0,0,0.0,35.2,88.8,32.1,969.0,moderate,46.0
Fusarium Wilt,1,0,-1.0,35.2,88.8,32.1,969.0,low,28.0
Bacterial Spot,1,0,-1.0,35.2,88.8,32.1,969.0,low,28.0
Early Blight,1,0,-0.6,38.0,63.3,21.9,692.4,low,28.0
Late Blight,0,0,0.0,38.0,63.3,21.9,692.4,low,34.0
Fusarium Wilt,2,0,-2.0,38.0,63.3,21.9,692.4,low,28.0
Bacterial Spot,1,0,-1.0,38.0,63.3,21.9,692.4,low,16.0
Early Blight,0,0,0.0,28.2,45.9,72.0,148.0,moderate,46.0
Late Blight,0,0,0.0,28.2,45.9,72.0,148.0,low,34.0
Fusarium Wilt,1,0,-1.0,28.2,45.9,72.0,148.0,moderate,44.0
Bacterial Spot,0,0,0.0,28.2,45.9,72.0,148.0,moderate,46.0
Early Blight,0,0,0.0,26.4,32.5,50.2,749.2,moderate,46.0
Late Blight,1,0,-0.6,26.4,32.5,50.2,749.2,low,28.0
Fusarium Wilt,1,0,-1.0,26.4,32.5,50.2,749.2,low,28.0
Bacterial Spot,1,0,-0.6,26.4,32.5,50.2,749.2,moderate,40.0
Early Blight,1,0,-0.6,30.1,40.5,47.6,1166.1,low,28.0
Late Blight,0,0,0.0,30.1,40.5,47.6,1166.1,low,34.0
Fusarium Wilt,0,0,0.0,30.1,40.5,47.6,1166.1,moderate,62.0
Bacterial Spot,1,0,-0.6,30.1,40.5,47.6,1166.1,low,28.0
Early Blight,1,0,-0.6,22.3,78.9,70.8,1059.6,moderate,56.0
Late Blight,1,0,-1.0,22.3,78.9,70.8,1059.6,moderate,44.0
Fusarium Wilt,0,0,0.0,22.3,78.9,70.8,1059.6,moderate,46.0
Bacterial Spot,1,0,-0.6,22.3,78.9,70.8,1059.6,low,28.0
Early Blight,0,0,0.0,17.3,73.1,79.8,588.0,moderate,46.0
Late Blight,1,0,-0.6,17.3,73.1,79.8,588.0,moderate,40.0
Fusarium Wilt,1,0,-1.0,17.3,73.1,79.8,588.0,low,28.0
Bacterial Spot,2,0,-1.6,17.3,73.1,79.8,588.0,low,16.0
Early Blight,1,0,-0.6,27.2,68.5,73.4,287.0,moderate,40.0
Late Blight,0,0,0.0,27.2,68.5,73.4,287.0,low,34.0
Fusarium Wilt,1,0,-1.0,27.2,68.5,73.4,287.0,moderate,44.0
Bacterial Spot,2,0,-1.6,27.2,68.5,73.4,287.0,low,28.0
Early Blight,0,0,0.0,20.8,47.4,10.8,985.1,moderate,46.0
Late Blight,1,0,-0.6,20.8,47.4,10.8,985.1,moderate,40.0
Fusarium Wilt,2,0,-2.0,20.8,47.4,10.8,985.1,low,28.0
Bacterial Spot,0,0,0.0,20.8,47.4,10.8,985.1,low,34.0
Early Blight,1,0,-0.6,24.8,47.0,77.6,319.1,moderate,40.0
Late Blight,2,0,-1.6,24.8,47.0,77.6,319.1,low,16.0
Fusarium Wilt,0,0,0.0,24.8,47.0,77.6,319.1,moderate,46.0
Bacterial Spot,1,0,-0.6,24.8,47.0,77.6,319.1,moderate,40.0
Early Blight,0,0,0.0,37.5,74.8,32.0,722.5,moderate,46.0
Late Blight,1,0,-0.6,37.5,74.8,32.0,722.5,low,28.0
Fusarium Wilt,1,0,-1.0,37.5,74.8,32.0,722.5,low,28.0
Bacterial Spot,1,0,-0.6,37.5,74.8,32.0,722.5,low,28.0
Early Blight,0,0,0.0,33.4,71.3,38.2,800.3,moderate,46.0
Late Blight,0,0,0.0,33.4,71.3,38.2,800.3,low,34.0
Fusarium Wilt,0,0,0.0,33.4,71.3,38.2,800.3,moderate,62.0
Bacterial Spot,0,0,0.0,33.4,71.3,38.2,800.3,low,34.0
Early Blight,0,0,0.0,29.9,51.0,45.3,737.5,moderate,46.0
Late Blight,2,0,-1.6,29.9,51.0,45.3,737.5,low,16.0
Fusarium Wilt,1,0,-1.0,29.9,51.0,45.3,737.5,moderate,44.0
Bacterial Spot,1,0,-1.0,29.9,51.0,45.3,737.5,low,28.0
Early Blight,1,0,-0.6,37.3,66.1,83.1,1013.5,low,28.0
Late Blight,1,0,-0.6,37.3,66.1,83.1,1013.5,low,28.0
Fusarium Wilt,0,0,0.0,37.3,66.1,83.1,1013.5,moderate,46.0
Bacterial Spot,2,0,-1.6,37.3,66.1,83.1,1013.5,low,16.0
Early Blight,0,0,0.0,37.1,39.6,87.3,1046.2,low,34.0
Late Blight,0,0,0.0,37.1,39.6,87.3,1046.2,low,34.0
Fusarium Wilt,1,0,-1.0,37.1,39.6,87.3,1046.2,low,16.0
Bacterial Spot,1,0,-0.6,37.1,39.6,87.3,1046.2,low,28.0
Early Blight,0,0,0.0,27.3,60.9,63.8,839.6,moderate,46.0
Late Blight,0,0,0.0,27.3,60.9,63.8,839.6,low,34.0
Fusarium Wilt,2,0,-2.0,27.3,60.9,63.8,839.6,moderate,44.0
Bacterial Spot,1,0,-1.0,27.3,60.9,63.8,839.6,low,28.0
